StarColor_blue,StarColor_green,StarColor_orange,StarColor_red,StarColor_white,StarColor_yellow,StarSize_dwarf,StarSize_giant,StarSize_super giant,DistFromStar,PlanetNumber,isMoon,ThermalMean,class
0,1,0,0,0,0,1,0,0,536,1,0.0,1.2,0.0
0,1,0,0,0,0,1,0,0,1657,2,0.0,1.2,0.0
0,1,0,0,0,0,1,0,0,2596,3,0.0,1.2,0.0
0,1,0,0,0,0,1,0,0,2596,3,1.0,1.2,1.0
0,1,0,0,0,0,1,0,0,2596,3,1.0,1.2,0.0
0,1,0,0,0,0,1,0,0,2596,3,1.0,1.2,0.0
0,1,0,0,0,0,1,0,0,2596,3,1.0,1.2,0.0
0,1,0,0,0,0,1,0,0,3759,4,0.0,1.2,0.0
0,1,0,0,0,0,1,0,0,3759,4,1.0,1.2,0.0
0,1,0,0,0,0,1,0,0,3759,4,1.0,1.2,1.0
0,1,0,0,0,0,1,0,0,3759,4,1.0,1.2,0.0
0,1,0,0,0,0,1,0,0,4335,5,0.0,1.2,0.0
0,0,0,0,1,0,1,0,0,3145,1,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,3771,2,0.0,1.0,1.0
0,0,0,0,1,0,1,0,0,4350,3,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,4350,3,1.0,1.0,0.0
0,0,0,0,1,0,1,0,0,6392,4,0.0,1.0,1.0
0,0,0,0,1,0,1,0,0,6762,5,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,7443,6,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1263,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,293,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2270,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6263,3,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7753,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,616,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,4104,2,0.0,1.0,1.0
0,0,1,0,0,0,1,0,0,7105,3,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7105,3,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7105,3,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1179,1,0.0,2.0,1.0
1,0,0,0,0,0,1,0,0,5017,2,0.0,2.0,0.0
0,0,0,0,1,0,1,0,0,3386,1,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,5381,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,1710,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2721,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2721,2,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3718,3,0.0,1.0,1.0
0,0,1,0,0,0,1,0,0,5614,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,5614,4,1.0,1.0,0.0
